Category: All categories

Month,matcha: (United States)
2004-01,1
2004-02,0
2004-03,0
2004-04,1
2004-05,1
2004-06,0
2004-07,1
2004-08,1
2004-09,0
2004-10,0
2004-11,0
2004-12,1
2005-01,2
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,2
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,2
2006-01,1
2006-02,1
2006-03,1
2006-04,2
2006-05,1
2006-06,2
2006-07,2
2006-08,2
2006-09,1
2006-10,1
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,3
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,2
2008-03,3
2008-04,2
2008-05,2
2008-06,3
2008-07,3
2008-08,4
2008-09,3
2008-10,2
2008-11,2
2008-12,3
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,2
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,3
2010-06,4
2010-07,3
2010-08,3
2010-09,3
2010-10,3
2010-11,3
2010-12,4
2011-01,5
2011-02,5
2011-03,5
2011-04,4
2011-05,4
2011-06,3
2011-07,5
2011-08,4
2011-09,4
2011-10,3
2011-11,4
2011-12,4
2012-01,5
2012-02,7
2012-03,5
2012-04,5
2012-05,7
2012-06,5
2012-07,5
2012-08,5
2012-09,5
2012-10,5
2012-11,4
2012-12,5
2013-01,7
2013-02,10
2013-03,8
2013-04,7
2013-05,7
2013-06,7
2013-07,9
2013-08,9
2013-09,6
2013-10,6
2013-11,7
2013-12,6
2014-01,15
2014-02,10
2014-03,10
2014-04,10
2014-05,10
2014-06,10
2014-07,10
2014-08,9
2014-09,9
2014-10,9
2014-11,9
2014-12,10
2015-01,13
2015-02,13
2015-03,19
2015-04,29
2015-05,24
2015-06,19
2015-07,19
2015-08,17
2015-09,16
2015-10,15
2015-11,15
2015-12,15
2016-01,25
2016-02,23
2016-03,27
2016-04,28
2016-05,24
2016-06,25
2016-07,26
2016-08,24
2016-09,22
2016-10,22
2016-11,21
2016-12,22
2017-01,33
2017-02,30
2017-03,37
2017-04,34
2017-05,35
2017-06,42
2017-07,32
2017-08,31
2017-09,29
2017-10,29
2017-11,28
2017-12,29
2018-01,39
2018-02,39
2018-03,44
2018-04,44
2018-05,42
2018-06,41
2018-07,41
2018-08,41
2018-09,33
2018-10,36
2018-11,28
2018-12,36
2019-01,44
2019-02,41
2019-03,55
2019-04,53
2019-05,43
2019-06,42
2019-07,43
2019-08,40
2019-09,38
2019-10,36
2019-11,34
2019-12,35
2020-01,46
2020-02,52
2020-03,74
2020-04,62
2020-05,66
2020-06,53
2020-07,59
2020-08,51
2020-09,48
2020-10,45
2020-11,41
2020-12,45
2021-01,59
2021-02,62
2021-03,68
2021-04,60
2021-05,57
2021-06,55
2021-07,55
2021-08,53
2021-09,49
2021-10,46
2021-11,44
2021-12,46
2022-01,62
2022-02,65
2022-03,66
2022-04,71
2022-05,65
2022-06,66
2022-07,69
2022-08,70
2022-09,60
2022-10,57
2022-11,50
2022-12,56
2023-01,69
2023-02,77
2023-03,85
2023-04,84
2023-05,79
2023-06,79
2023-07,81
2023-08,84
2023-09,73
2023-10,67
2023-11,63
2023-12,67
2024-01,75
2024-02,77
2024-03,100
2024-04,97
2024-05,96
2024-06,94
2024-07,99
2024-08,97
2024-09,96
2024-10,85
2024-11,90
2024-12,100
