Month,matcha: (United States)
2025-06,188.83886013488188
2025-07,199.41492571972398
2025-08,191.98375175989628
2025-09,194.10080400628877
2025-10,180.40353587203836
2025-11,186.88813582142598
2025-12,189.77358152827563
2026-01,217.50950009558994
2026-02,220.72855005349598
2026-03,257.3823305809275
2026-04,250.57258495845585
2026-05,262.3552541350881
2026-06,253.19797213162127
2026-07,263.8028312793576
2026-08,256.2971153003623
2026-09,258.08378718454196
2026-10,244.73748220031723
2026-11,250.68323698825563
2026-12,252.89406025906308
2027-01,279.1993104783577
2027-02,281.7505306883295
2027-03,316.0358892875705
2027-04,309.22711967312244
2027-05,319.6549407705345
2027-06,310.9680489707997
2027-07,321.0969349934567
2027-08,314.0252062287415
2027-09,315.32510416598456
2027-10,302.4414706127631
2027-11,307.91237696487394
2027-12,310.3241719601991
2028-01,336.01898188892693
2028-02,338.728197057202
2028-03,372.2518700776401
2028-04,365.699896131011
2028-05,375.61018650033236
2028-06,367.24297650659406
2028-07,377.0661192662979
2028-08,370.2774446743286
2028-09,371.29655984029614
2028-10,358.6765313157465
2028-11,363.89273160412796
2028-12,366.49234865119746
2029-01,391.9251411974388
2029-02,394.7942004247217
2029-03,428.0426453409294
2029-04,421.6541614747536
2029-05,431.35489562873727
2029-06,423.1496203923771
2029-07,432.82020204730463
2029-08,426.1733578294197
2029-09,427.0567689917431
2029-10,414.56363906990947
2029-11,419.65968880179605
2029-12,422.3611308543326
2030-01,447.6811357222737
2030-02,450.6380080781539
2030-03,483.7786579920549
2030-04,477.47155112351595
2030-05,487.08467853684425
2030-06,478.95421475803533
2030-07,488.5547202482036
2030-08,481.9731281853466
2030-09,482.7949882790564
2030-10,470.3593232572195
2030-11,475.40141764864194
2030-12,478.1510710469101
2031-01,503.4224588070153
2031-02,506.4210972949363
2031-03,539.5174815134912
2031-04,533.2477178003605
2031-05,542.8236174973897
