Month,matcha: (United States)
2025-01,106.04684634350498
2025-02,108.37310305521454
2025-03,123.64587069520795
2025-04,121.32132600968185
2025-05,118.81514044237917
2025-06,117.2035512111066
2025-07,120.70188080015919
2025-08,119.73939103165966
2025-09,115.402865054515
2025-10,107.89984685224309
2025-11,108.43642217518372
2025-12,115.5321451686068
2026-01,124.01161665548726
2026-02,126.92179670526781
2026-03,141.27750201488774
2026-04,139.06441620530214
2026-05,136.36269361038913
2026-06,134.80353773619967
2026-07,138.1027269306525
2026-08,137.27798158913666
2026-09,132.49860493830747
2026-10,125.4597433000763
2026-11,125.40388760953128
2026-12,132.114125359688
2027-01,140.91647970763904
2027-02,143.90416402783723
2027-03,158.13814746096875
2027-04,155.9398556116404
2027-05,153.21217934573966
2027-06,151.6599829621228
2027-07,154.93274020990756
2027-08,154.1262777153014
2027-09,149.28812140094587
2027-10,142.3108673615716
2027-11,142.17637817738066
2027-12,148.8354503897161
2028-01,157.6806610480669
2028-02,160.67863252646015
2028-03,174.89645978919623
2028-04,172.70013154533993
2028-05,169.96901044320293
2028-06,168.41773779424085
2028-07,171.68698672415726
2028-08,170.88295091568594
2028-09,166.03699276416592
2028-10,159.06791591441032
2028-11,158.92298968998648
2028-12,165.57527068967173
2029-01,174.42616967516068
2029-02,177.42550657023565
2029-03,191.64118942106012
2029-04,189.4451218069732
2029-05,186.7135434709944
2029-06,185.16239342952832
2029-07,188.4311766996725
2029-08,187.62746298576482
2029-09,182.78046929474883
2029-10,175.8124778050998
2029-11,175.6661662701197
2029-12,182.31754587071438
2030-01,191.16919986906677
2030-02,194.16871799618653
2030-03,208.3841162187647
2030-04,206.18808319812214
2030-05,203.4564441733989
2030-06,201.90531040565168
2030-07,205.17403186867585
2030-08,204.37036090644767
2030-09,199.5232297680555
2030-10,192.55538233848284
2030-11,192.4088869309398
2030-12,199.06014688864263
